MOE,dry_density,acoustic_velocity
7.865409676,782.7134986,3.17
9.456810137,806.1642186,3.425
10.97663857,851.6878805,3.59
8.063444283,707.90183,3.375
8.319961178,804.9322822,3.215
10.9005301,743.1048069,3.83
11.46906887,824.3478261,3.73
16.39374839,802.4193548,4.52
12.08235813,683.3130329,4.205
12.29286717,705.2453469,4.175
10.97501454,754.0775643,3.815
9.393690735,852.2364217,3.32
12.2326533,792.0189381,3.93
10.03032207,814.14291,3.51
7.74147774,746.6415011,3.22
11.32358038,750.2426007,3.885
10.50043706,746.6977467,3.75
10.4080992,754.1431433,3.715
10.99893166,771.8210013,3.775
11.53353972,766.1241712,3.88
12.67850975,767.2680412,4.065
9.294017803,792.2866687,3.425
10.3984326,727.7534646,3.78
11.81964766,809.9865451,3.82
10.54110471,718.602261,3.83
12.18160174,733.5828513,4.075
10.75114193,758.4459459,3.765
15.58951847,818.2089107,4.365
7.844044597,744.9217449,3.245
8.678429557,720.7459207,3.47
9.990768443,737.7398721,3.68
9.591215976,744.1916168,3.59
10.45618331,755.5919258,3.72
10.79692507,795.1061321,3.685
13.04992858,864.6216155,3.885
10.53902115,776.1135966,3.685
10.83776627,781.0650888,3.725
9.349846328,804.0734366,3.41
10.90971542,807.7904888,3.675
13.0351213,816.7356441,3.995
9.487268792,799.3974391,3.445
9.594797132,834.903728,3.39
9.77449762,828.4016637,3.435
8.89611419,785.6519843,3.365
12.23389361,856.211585,3.78
11.17846339,864.9366891,3.595
13.20652484,739.8354308,4.225
13.38562697,749.8688123,4.225
10.44793518,761.1215961,3.705
12.99327583,802.0231214,4.025
15.81530978,867.4050633,4.27
10.2859742,749.322901,3.705
13.29858868,804.7934881,4.065
9.645198062,723.9780868,3.65
12.01874404,830.1369863,3.805
12.55123314,790.3687222,3.985
10.60057124,815.6779661,3.605
13.04905139,807.4708171,4.02
15.59598828,820.4269569,4.36
13.64755657,813.8551031,4.095
10.10661521,730.3311952,3.72
12.06368255,795.1791359,3.895
12.73602177,839.4964595,3.895
12.74354447,835.6956899,3.905
12.78072383,800.7959782,3.995
12.67544168,864.1030803,3.83
12.98962258,826.2474827,3.965
10.24014442,810.2646118,3.555
14.787101,888.3062402,4.08
11.24857553,749.124697,3.875
10.2360005,781.1117257,3.62
11.96158653,786.4290945,3.9
10.97230643,763.8700947,3.79
13.4941438,851.8815052,3.98
11.49979323,746.4671654,3.925
9.646018358,754.7376093,3.575
12.37442675,754.423213,4.05
10.37896572,814.3622722,3.57
9.955471863,715.5569193,3.73
11.84970071,801.5206082,3.845
11.49261085,793.7968643,3.805
11.36495075,825.6951596,3.71
11.74135432,781.9424311,3.875
9.388106796,791.0420475,3.445
9.767834241,790.5832748,3.515
10.13772573,832.3187604,3.49
8.812146226,797.0735464,3.325
8.732364414,725.2252252,3.47
11.2744438,768.5950413,3.83
13.01825776,815.6790331,3.995
11.46484267,802.388138,3.78
13.17478523,825.4865035,3.995
10.91473438,863.6424105,3.555
13.42029011,744.7431461,4.245
11.51021314,710.4795737,4.025
13.94207864,784.7518896,4.215
12.55239265,774.8091603,4.025
11.68168553,796.3572951,3.83
9.963018243,729.7297297,3.695
9.877909675,751.7077517,3.625
11.42838588,787.2903795,3.81
12.35775404,724.5017585,4.13
10.77207679,795.4333644,3.68
10.89367059,847.6097014,3.585
13.20455913,783.6056932,4.105
11.93559501,727.6692585,4.05
9.934689805,733.5989045,3.68
12.19583779,842.3688863,3.805
10.49820728,762.7238454,3.71
11.53635347,762.3762376,3.89
13.11720668,757.9746835,4.16
13.05704356,747.2953664,4.18
12.49584107,815.270936,3.915
9.655839089,757.6237624,3.57
12.08694823,800.8194555,3.885
15.47141314,797.3300971,4.405
9.868515639,785.27063,3.545
11.07507041,764.957265,3.805
11.4769831,822.7095335,3.735
11.71471052,774.1629067,3.89
15.24502279,768.126346,4.455
13.74438673,794.2161339,4.16
9.065941373,820.0297471,3.325
12.08565522,745.999319,4.025
14.40122324,810.5955679,4.215
9.387289214,875.2207181,3.275
11.42536371,721.28,3.98
9.990937204,770.9056485,3.6
8.389806721,779.8377752,3.28
10.04240552,787.9548306,3.57
11.03394378,725.4400909,3.9
10.47938228,751.1980831,3.735
11.77286522,754.5499262,3.95
11.99702331,696.5901183,4.15
11.12846197,793.4718101,3.745
7.931916233,723.9726027,3.31
13.56222789,767.0064875,4.205
11.76318726,785.4220336,3.87
10.82554112,861.4243323,3.545
14.93316091,824.8075278,4.255
11.49878438,856.0595422,3.665
11.09460578,770.3504043,3.795
12.57743169,761.1510791,4.065
9.906910753,760.1929661,3.61
11.43647657,761.6383977,3.875
14.08684524,804.3087971,4.185
9.713322038,707.6057659,3.705
12.6001274,795.4425013,3.98
16.08930192,905.61173899999994,4.215
13.63151638,837.2537313,4.035
11.71018401,810.9545716,3.8
12.89515137,765.2443318,4.105
12.55146914,770.9167545,4.035
10.96413948,822.9791317,3.65
13.91661979,844.2706562,4.06
12.65539749,907.1823204,3.735
13.30822282,758.0398162,4.19
10.61791356,781.9233839,3.685
15.5949413,798.2505118,4.42
13.74848333,850.7514251,4.02
9.453451311,739.6705021,3.575
